supersense_category	text
verb.stative	culminating
noun.act	discovery
noun.substance	slate
noun.attribute	markings
noun.cognition	puzzlement
noun.act	resumption
noun.phenomenon	gale
verb.communication	despatched
noun.person	Lake
noun.artifact	specimens
noun.state	hazard
noun.act	mutiny
noun.event	success
noun.attribute	immensity
noun.event	tempests
noun.attribute	mysteries
verb.stative	stretched off
noun.object	coast
noun.location	Queen Mary
noun.location	Knox Lands
noun.location	Lake
noun.cognition	sentiments
verb.motion	accompanied
noun.location	P.M.
noun.phenomenon	snowstorm
verb.creation	spied
noun.object	mountain
verb.stative	equal
noun.object	Himalayas
verb.communication	allowing
noun.attribute	height
noun.location	Latitude
noun.location	Longitude
noun.location	°
noun.location	E. Reaches
noun.cognition	Suspicion
noun.artifact	cones
noun.object	peaks
noun.location	Gale
verb.motion	blowing
verb.change	impedes
noun.person	Pabodie
noun.cognition	Thought
noun.object	mountain
noun.artifact	rampart
verb.emotion	inflamed
noun.state	adventure
verb.emotion	rejoiced
noun.person	discoverers
noun.person	Lake
noun.person	Moulton
verb.motion	forced down
noun.object	foothills
verb.contact	transfer
noun.substance	essentials
noun.act	travel
noun.location	Mountains
verb.stative	surpass
noun.act	scouting
noun.person	Carroll
noun.location	Highest peaks
noun.person	Everest
verb.change	work out
noun.attribute	height
noun.substance	theodolite
noun.person	Carroll
verb.motion	go up
noun.artifact	cones
noun.substance	formations
verb.cognition	Cambrian
noun.substance	slate
noun.substance	strata
verb.contact	mixed in
noun.act	skyline
verb.stative	clinging
noun.object	peaks
noun.substance	gold light
noun.artifact	gateway
noun.person	listeners
verb.communication	retiring
noun.location	McMurdo Sound
noun.artifact	supply cache
noun.group	Arkham
verb.contact	getting
noun.person	Capt . Douglas
verb.communication	gave out
verb.communication	congratulating
noun.person	Sherman
noun.artifact	cache
verb.communication	seconded
noun.communication	sentiments
noun.artifact	aëroplane
verb.change	mended
noun.time	P.M.
noun.location	Lake
noun.location	Carroll
noun.location	foothills
noun.location	peaks
noun.attribute	altitude
noun.act	glimpses
noun.location	Main summits
verb.stative	exceed
noun.substance	Himalayas
noun.location	Range
noun.communication	Cambrian
noun.substance	slate
noun.communication	volcanism
verb.change	Goes
verb.change	Swept
noun.state	formations
noun.artifact	square blocks
noun.artifact	ramparts
noun.artifact	castles
noun.person	Roerich
noun.person	Carroll
verb.creation	formed
verb.change	weathering
verb.contact	rounded off
noun.event	storms
noun.time	climate
noun.event	changes
noun.location	Parts
noun.substance	strata
verb.contact	shews
verb.communication	investigate
noun.artifact	rampart
noun.attribute	Height
verb.change	gnawing
noun.phenomenon	Wind
verb.perception	whistles
noun.artifact	passes
noun.object	caves
noun.time	half - hour
noun.person	Lake
verb.social	kept up
verb.communication	expressed
noun.location	peaks
verb.communication	send
noun.person	Pabodie
verb.creation	work out
verb.change	concentrate
noun.state	character
noun.location	Lake
noun.person	Capt . Douglas
noun.location	Lake
noun.location	McMurdo Sound
noun.person	Lake
noun.person	Moulton
verb.motion	forced down
verb.change	progressed
verb.contact	sink
noun.act	borings
noun.act	blasts
noun.act	sledge
noun.act	expeditions
noun.attribute	majesty
noun.cognition	sensations
noun.location	lee
noun.artifact	pinnacles
noun.artifact	ranks
noun.person	Atwood
noun.communication	observations
noun.attribute	height
noun.location	peaks
noun.location	terrain
verb.emotion	disturbed
noun.location	Lake
noun.event	gales
noun.object	foothills
verb.communication	urged
verb.change	hasten
verb.change	disposed
noun.attribute	strenuousness
noun.cognition	results
verb.competition	cornered
noun.communication	wireless talk
noun.location	Lake
noun.location	Capt . Douglas
verb.cognition	agreed
noun.location	Lake
noun.person	Pabodie
noun.location	Lake
noun.act	borings
verb.change	restocked
verb.stative	postponed
noun.location	Lake
noun.location	McMurdo Sound
noun.location	Pabodie
noun.cognition	case
verb.stative	wintered
noun.artifact	antarctic
noun.location	Lake
noun.location	Arkham
noun.location	Esquimau
noun.group	village
verb.stative	Owing
noun.artifact	tent
noun.act	supply
noun.location	Lake
verb.communication	wirelessed
noun.person	Pabodie
noun.time	rest
noun.act	labours
noun.time	P.M.
noun.person	Lake
verb.communication	sending in
noun.act	working
noun.act	survey
verb.communication	shewed
noun.object	strata
noun.shape	peaks
verb.stative	loomed
noun.substance	sandstones
noun.substance	schists
noun.object	outcropping
verb.communication	discouraged
noun.person	Lake
verb.stative	hinged on
verb.possession	unearthing
noun.body	specimens
noun.substance	slate
noun.communication	vein
noun.communication	markings
noun.act	sledge
noun.location	foothills
noun.act	boring
noun.communication	programme
noun.artifact	drill
verb.contact	settling
verb.change	repairing
noun.substance	aëroplane
noun.substance	sandstone
noun.act	sampling
noun.artifact	drill
noun.act	blasting
noun.communication	shouting
noun.person	drill
noun.person	young Gedney
noun.act	boring
noun.substance	sandstone
noun.object	vein
noun.plant	cephalopods
noun.substance	corals
noun.animal	echini
noun.animal	spirifera
noun.communication	suggestions
noun.animal	sponges
noun.animal	vertebrate
noun.body	teliosts
noun.animal	sharks
noun.animal	ganoids
verb.consumption	affording
noun.animal	vertebrate
noun.artifact	fossils
verb.possession	secured
noun.artifact	drill
noun.body	stratum
noun.state	vacancy
noun.person	excavators
noun.artifact	aperture
verb.stative	yawned
noun.person	searchers
noun.act	hollowing
verb.change	worn
noun.object	ground waters
noun.object	tropic
noun.body	stalactites
noun.body	stalagmites
noun.object	deposit
noun.object	jungles
noun.plant	fungi
noun.animal	cycads
noun.animal	fan
noun.plant	palms
noun.plant	angiosperms
noun.communication	medley
noun.relation	representatives
noun.communication	Cretaceous
noun.communication	Eocene
noun.person	palaeontologist
noun.animal	Molluscs
noun.animal	crustacean armour
noun.animal	fishes
noun.animal	amphibians
noun.animal	reptiles
noun.animal	mammals
noun.person	Gedney
noun.communication	shouting
noun.artifact	derrick
verb.communication	marked
noun.artifact	gateway
noun.communication	secrets
noun.location	inner
noun.animal	aeons
noun.person	Lake
verb.emotion	satisfied
noun.shape	edge
verb.communication	scribbled
noun.communication	notebook
noun.person	young Moulton
verb.motion	run back
verb.contact	despatch
noun.communication	wireless
noun.act	discovery
noun.act	identification
noun.animal	ganoids
noun.animal	placoderms
noun.communication	remnants
noun.body	labyrinthodonts
noun.body	thecodonts
noun.animal	mososaur
noun.body	skull fragments
noun.animal	dinosaur vertebrae
noun.artifact	armour
noun.body	pterodactyl teeth
noun.artifact	bones
noun.animal	archaeopteryx
noun.animal	sharks
noun.body	vertebrae
noun.animal	mammals
noun.body	palaeotheres
noun.substance	xiphodons
noun.substance	dinocerases
noun.substance	eohippi
noun.substance	oreodons
noun.plant	titanotheres
noun.animal	mastodon
noun.animal	elephant
noun.animal	camel
noun.animal	bovine
noun.person	Lake
verb.cognition	concluded
noun.object	deposits
noun.time	Oligocene age
noun.body	stratum
verb.stative	lain
noun.attribute	prevalence
noun.group	formation
noun.body	fossils
noun.body	ventriculites
noun.substance	fragments
noun.relation	proportion
noun.time	periods
noun.animal	fishes
noun.animal	molluscs
noun.animal	corals
noun.time	Silurian
noun.time	Ordovician
noun.cognition	inference
noun.state	continuity
noun.state	continuity
noun.time	Oligocene age
noun.object	cavern
noun.act	coming
noun.time	Pleistocene
verb.creation	put
noun.state	end
verb.cognition	outlive
noun.person	Lake
verb.contact	despatched
noun.person	Moulton
noun.person	Moulton
verb.motion	stayed at
noun.communication	wireless
verb.communication	transmitting
noun.location	Arkham
verb.communication	relaying
noun.location	outside world
noun.communication	postscripts
noun.person	Lake
noun.group	succession
noun.person	messengers
noun.communication	newspapers
noun.group	Moore Expedition
verb.communication	dissuade
noun.person	Lake
noun.person	operator McTighe
noun.communication	shorthand
noun.person	Fowler
noun.act	discovery
noun.substance	sandstone
noun.event	fragments
noun.event	blasts
noun.communication	prints
noun.communication	slate
verb.stative	survived
noun.time	Comanchian times
noun.process	decrease
verb.communication	Emphasise
noun.act	discovery
noun.communication	press
noun.person	Einstein
noun.cognition	mathematics
verb.social	Joins up
verb.cognition	amplifies
noun.cognition	conclusions
verb.perception	Appears
noun.group	cycle
verb.stative	specialised
noun.animal	forms
noun.communication	Question
verb.stative	arises
noun.process	development
verb.cognition	Examining
noun.animal	marine saurians
noun.animal	mammals
noun.state	wounds
noun.state	injuries
noun.animal	carnivorous animal
noun.cognition	sorts
noun.object	bores
verb.contact	hacking
noun.body	incisions
noun.event	cases
noun.cognition	specimens
verb.motion	sending
noun.artifact	torches
noun.cognition	search
verb.contact	hacking
noun.animal	stalactites
noun.substance	soapstone
noun.substance	fragment
noun.quantity	inches
noun.group	formation
noun.communication	evidences
verb.communication	place
verb.stative	Has
noun.attribute	smoothness
noun.attribute	regularity
noun.state	cleavage
verb.emotion	Arouses
noun.feeling	curiosity
noun.act	weathering
noun.process	action
noun.person	Carroll
noun.communication	magnifier
verb.cognition	make out
noun.communication	markings
noun.attribute	significance
noun.person	Dogs
noun.substance	soapstone
noun.attribute	odour
noun.person	Mills
verb.motion	gets back
noun.communication	discovery
noun.person	Orrendorf
noun.person	Watkins
noun.person	fossil
noun.animal	vegetable
noun.cognition	specimen
noun.animal	radiata
noun.body	Tissue
verb.change	preserved
noun.substance	mineral salts
verb.possession	retained
noun.communication	Marks
verb.contact	tapering
noun.shape	ridges
noun.plant	staves
noun.act	breakages
noun.plant	stalks
noun.location	middle
noun.location	ridges
noun.shape	furrows
noun.communication	ridges
noun.substance	growths
noun.substance	Combs
verb.contact	fold up
noun.artifact	fans
verb.creation	gives
noun.quantity	foot
noun.process	spread
noun.cognition	Arrangement
verb.cognition	reminds
noun.person	monsters
verb.change	stretched
noun.substance	orifices
noun.body	wing
noun.location	Ends
noun.cognition	clue
verb.change	broken off
verb.contact	dissect
noun.food	vegetable
noun.state	primitiveness
noun.body	stalactites
noun.cognition	specimens
verb.cognition	endure
noun.cognition	specimen
noun.person	Dyer
noun.location	Pabodie
noun.location	Douglas
noun.location	Arkham
noun.location	Kingsport Head Station
noun.substance	prints
noun.person	Mills
noun.person	Boudreau
noun.person	Fowler
noun.artifact	cluster
noun.artifact	aperture
verb.contact	Mixed
noun.substance	soapstone
noun.state	star
noun.process	breakage
noun.location	points
noun.relation	specimens
noun.artifact	appendages
verb.communication	leading off
noun.communication	Papers
noun.artifact	Objects
noun.quantity	foot
noun.quantity	foot
noun.substance	diameters
noun.quantity	foot
noun.substance	furrows
noun.shape	ridges
verb.stative	framework
noun.substance	orifices
noun.body	wing
noun.location	apex
noun.object	ridges
noun.animal	tentacles
verb.stative	found
verb.change	expansible
noun.animal	crinoid
noun.plant	stalks
noun.quantity	inches
verb.contact	branch
noun.quantity	inches
noun.plant	stalks
verb.change	branches
noun.quantity	inches
noun.animal	tentacles
verb.creation	giving
noun.substance	stalk
noun.artifact	total
noun.animal	tentacles
noun.animal	gill
noun.body	suggestions
noun.animal	starfish
noun.animal	cilia
noun.artifact	point
noun.body	point
verb.contact	Slit
noun.body	aperture
noun.event	expansion
noun.substance	membrane
verb.motion	rolls
noun.body	globe
verb.stative	start
noun.object	starfish
noun.body	swellings
noun.animal	bell
noun.artifact	orifices
noun.quantity	inches
noun.body	cilia
noun.location	points
noun.animal	starfish
noun.location	points
verb.contact	clinging to
noun.attribute	Flexibility
noun.attribute	toughness
noun.cognition	counterparts
noun.location	arrangements
noun.body	gill
noun.communication	suggestions
verb.stative	tapering
noun.quantity	inches
noun.shape	triangle
noun.quantity	inches
noun.animal	paddle
noun.body	fin
noun.communication	prints
noun.object	starfish
noun.group	arrangement
verb.creation	project
verb.change	tapering
noun.quantity	inches
noun.body	base
noun.substance	Orifices
noun.body	parts
noun.artifact	paddles
noun.act	locomotion
noun.communication	suggestions
noun.state	muscularity
verb.stative	corresponding
verb.cognition	assign
noun.state	kingdom
verb.social	favour
verb.stative	represents
noun.body	radiata
noun.animal	Echinoderm
verb.stative	resemblances
noun.communication	evidences
noun.location	Wing
verb.stative	puzzles
noun.location	Symmetry
noun.plant	vegetable
noun.time	date
verb.stative	preceding
noun.animal	protozoa
verb.communication	baffles
noun.cognition	conjecture
noun.cognition	specimens
noun.attribute	resemblance
noun.person	creatures
verb.change	becomes
noun.person	Dyer
noun.person	Pabodie
noun.communication	Necronomicon
noun.person	Clark Ashton Smith
verb.communication	speak of
noun.communication	Elder Things
noun.communication	jest
noun.person	Students
noun.communication	treatment
noun.body	radiata
noun.cognition	folklore
noun.person	Wilmarth
verb.communication	spoken of
noun.communication	appendages
noun.communication	Deposits
noun.time	Cretaceous
noun.cognition	specimens
noun.body	stalagmites
verb.stative	deposited
noun.act	Hard work
verb.change	hewing
noun.attribute	toughness
verb.change	prevented
noun.act	preservation
verb.cognition	owing
verb.change	resume
noun.act	search
noun.person	Job
noun.Tops	specimens
verb.communication	bark
verb.possession	trusted
verb.social	guard
noun.animal	sledges
noun.location	McMurdo Sound
verb.contact	shipping
verb.contact	dissect
noun.artifact	laboratory
noun.person	Dyer
noun.person	Pabodie
noun.artifact	drill
verb.change	opened up
noun.person	Arkham
noun.person	Pabodie
noun.act	receipt
noun.person	McTighe
verb.communication	translated
noun.communication	spots
verb.possession	receiving
verb.communication	wrote out
noun.person	Lake
verb.change	signed off
verb.emotion	appreciated
noun.time	epoch
noun.attribute	significance
noun.act	discovery
noun.person	Lake
noun.communication	congratulations
noun.person	Arkham
noun.communication	parts
noun.person	Sherman
noun.location	McMurdo Sound
noun.artifact	supply cache
noun.person	Capt . Douglas
noun.location	Arkham
noun.communication	remarks
noun.location	Arkham
noun.location	outside world
noun.location	Lake
verb.emotion	disappointed
noun.object	mountain
noun.phenomenon	gale
noun.act	aërial
noun.act	travel
verb.change	rose
verb.communication	banish
noun.feeling	disappointment
noun.location	Lake
noun.act	transportation
noun.Tops	specimens
verb.social	accomplished
noun.artifact	corral
noun.Tops	specimens
verb.contact	laid out
noun.person	Lake
noun.act	dissection
noun.communication	dissection
noun.artifact	laboratory
noun.artifact	tent
noun.cognition	specimen
noun.attribute	toughness
noun.person	Lake
noun.act	incisions
verb.emotion	upset
noun.attribute	niceties
noun.cognition	specimens
verb.stative	yield
noun.body	specimen
noun.attribute	remnants
noun.animal	starfish
noun.body	arrangements
verb.change	disrupted
noun.body	furrows
noun.event	Results
verb.communication	reported
noun.communication	wireless
verb.social	achieved
verb.emotion	awed
verb.change	revised
noun.Tops	cell
noun.cognition	attribute
verb.communication	pertained
noun.time	cycle
noun.cognition	powers
noun.location	Lake
noun.artifact	tent
noun.cognition	odour
verb.motion	encountered
verb.perception	answering
noun.object	Lake
noun.artifact	corral
noun.act	barking
noun.attribute	restlessness
noun.act	dissection
noun.communication	guesses
noun.relation	members
noun.act	inspection
verb.creation	brought up
noun.substance	vegetable
noun.communication	evidences
noun.location	Lake
noun.process	digestion
noun.act	circulation
verb.change	eliminated
noun.substance	matter
noun.shape	tubes
noun.object	starfish
noun.body	base
verb.stative	handled
noun.communication	evidences
noun.artifact	storage chambers
verb.contact	shifting
noun.act	respiration
noun.body	orifice
noun.body	systems
noun.body	gills
verb.stative	adapted
noun.state	hibernation
noun.time	periods
noun.body	Vocal organs
noun.shape	connexion
noun.body	respiratory system
noun.attribute	anomalies
noun.substance	solution
noun.communication	piping notes
verb.stative	covering
noun.attribute	range
noun.body	muscular system
noun.location	Lake
noun.communication	respects
noun.body	centres
noun.body	connectives
noun.cognition	extremes
noun.process	development
noun.body	cilia
noun.cognition	factors
noun.attribute	habits
verb.communication	predicted
noun.attribute	analogy
noun.object	Lake
noun.person	creature
noun.feeling	sensitiveness
noun.attribute	functions
noun.animal	bees
verb.stative	reproduced
noun.animal	vegetable cryptogams
noun.animal	spore
noun.cognition	cases
verb.change	developing
noun.body	thallus
noun.plant	prothallus
noun.attribute	folly
noun.body	radiate
noun.animal	animal structure
noun.communication	contour
noun.attribute	attributes
noun.attribute	limit
noun.cognition	adaptations
verb.communication	held
verb.perception	undergone
noun.object	earth
noun.substance	prints
noun.object	rocks
noun.cognition	conception
noun.communication	Lake
verb.communication	recall
noun.communication	myths
noun.person	Great Old
verb.creation	concocted
noun.communication	tales
noun.location	Outside
noun.person	folklorist
noun.person	colleague
noun.person	Miskatonic
noun.group	department
verb.perception	considered
noun.communication	prints
noun.person	ancestor
noun.body	specimens
verb.communication	rejected
verb.perception	considering
noun.attribute	qualities
noun.body	fossils
noun.communication	contours
verb.communication	shewed
noun.state	decadence
noun.animal	feet
noun.attribute	morphology
verb.change	simplified
noun.cognition	suggestions
noun.event	retrogression
noun.body	parts
noun.person	Lake
verb.communication	fell back
noun.act	mythology
noun.person	jocosely
verb.communication	dubbing
noun.artifact	finds
noun.time	A.M.
verb.stative	postpone
noun.artifact	tarpaulin
noun.artifact	laboratory
noun.artifact	tent
noun.body	specimens
verb.contact	limber up
noun.location	points
verb.creation	shewed
noun.person	Lake
noun.cognition	decomposition
noun.Tops	specimens
noun.artifact	tent
verb.social	keep off
noun.phenomenon	solar rays
noun.state	unrest
noun.quantity	quota
verb.motion	hastening
verb.contact	weight down
noun.artifact	tent
noun.phenomenon	gale
noun.object	titan
verb.communication	deliver
noun.event	blasts
noun.feeling	apprehensions
verb.change	revived
noun.person	Atwood
noun.act	supervision
noun.attribute	precautions
verb.contact	bank
noun.artifact	corral
noun.artifact	aëroplane shelters
noun.artifact	shelters
noun.person	Lake
verb.change	detached
noun.act	tasks
noun.person	Lake
verb.possession	share
noun.artifact	shelter
verb.creation	held
noun.communication	chat
noun.person	Pabodie
noun.substance	ether
noun.communication	praise
noun.event	drills
noun.act	discovery
noun.person	Atwood
noun.communication	greetings
noun.communication	praises
noun.person	Lake
noun.communication	congratulation
verb.cognition	owning up
verb.social	get in touch
noun.communication	wireless
noun.phenomenon	gale
noun.location	Lake
verb.communication	send
verb.motion	retiring
verb.communication	despatched
noun.location	Arkham
verb.change	toning down
verb.emotion	rouse
noun.communication	incredulity
verb.cognition	substantiated
noun.location	Lake
noun.act	discovery
noun.location	Lake
noun.object	peaks
verb.creation	bred
verb.possession	delivered
noun.person	McTighe
noun.location	Lake
noun.communication	wireless
noun.location	westward
verb.social	prevent
noun.Tops	communication
noun.location	Arkham
noun.person	Douglas
noun.object	Lake
verb.weather	blowing
noun.location	McMurdo Sound
noun.location	Lake
verb.motion	stampeded
noun.location	west
verb.creation	causing
verb.emotion	fear
verb.change	died down
noun.act	relapse
noun.time	P.M.
verb.change	redoubled
noun.object	Lake
verb.cognition	Reflecting
noun.phenomenon	wave
verb.contact	crippling
noun.phenomenon	force
noun.location	locality
verb.cognition	making
noun.communication	conjectures
noun.communication	consultation
noun.person	Douglas
noun.person	Thorfinnssen
noun.communication	aëroplane
noun.location	McMurdo Sound
noun.artifact	supply cache
noun.person	Sherman
verb.contact	saved
noun.person	Sherman
noun.communication	wireless
verb.communication	talked over
verb.social	include
noun.artifact	sledge
noun.act	transportation
noun.location	Lake
noun.communication	wireless
noun.person	Sherman
noun.person	sailors Gunnarsson
noun.person	Larsen
verb.communication	reported
noun.location	points
verb.motion	arrived at
verb.communication	discussed
verb.motion	sailing
noun.object	antarctic
noun.artifact	bases
verb.motion	drew back
noun.state	necessity
verb.motion	turned in
noun.artifact	loading
noun.time	January
noun.person	McTighe
noun.act	pilotage
noun.artifact	sledge
noun.artifact	fuel
noun.artifact	items
noun.attribute	temperature
noun.location	latitude
noun.location	longitude
verb.communication	designated
noun.person	Lake
noun.feeling	apprehensions
verb.contact	despatched
noun.event	incident
noun.cognition	recollection
verb.communication	marked
noun.event	loss
noun.feeling	peace
verb.perception	possesses
noun.cognition	conception
noun.person	Nature
noun.person	Nature
noun.cognition	laws
noun.person	Danforth
noun.attribute	horrors
verb.social	refrain from
verb.cognition	sharing
noun.communication	newspapers
noun.communication	bulletins
noun.act	battles
noun.time	air
noun.event	gales
noun.person	Lake
verb.motion	sunk
noun.time	journey
noun.person	Amundsen
noun.person	Byrd
noun.group	press
verb.social	adopt
noun.cognition	rule
noun.act	censorship
noun.person	sailor Larsen
verb.perception	spy
noun.object	witch
noun.artifact	cones
noun.object	pinnacles
noun.communication	shouts
noun.state	prominence
noun.attribute	height
verb.change	allowing
noun.location	summits
verb.cognition	catch
noun.attribute	phantasy
verb.creation	inspired
noun.communication	spectacle
noun.attribute	secrecy
noun.communication	revelation
noun.location	spires
noun.communication	pylons
noun.artifact	gateway
noun.attribute	dimensionality
noun.location	slopes
verb.stative	looked out
noun.object	abyss
noun.communication	suggestions
noun.attribute	beyondness
noun.attribute	remoteness
noun.state	separateness
noun.location	austral world
noun.person	Danforth
verb.emotion	drew
noun.communication	notice
noun.cognition	regularities
noun.object	mountain
noun.attribute	regularities
noun.object	cubes
noun.person	Lake
verb.communication	justified
noun.act	comparison
noun.communication	suggestions
noun.artifact	temple
noun.object	mountain
noun.person	Roerich
noun.person	Roerich
noun.object	continent
noun.state	mystery
noun.location	Victoria Land
noun.communication	resemblances
noun.location	realm
verb.stative	corresponded
noun.location	Leng
noun.person	Mythologists
verb.cognition	placed
noun.person	Leng
noun.location	Central Asia
noun.person	predecessors
noun.communication	tales
noun.location	lands
noun.object	temples
noun.object	Asia
noun.person	mystics
verb.communication	hinted at
noun.communication	Pnakotic Manuscripts
noun.person	devotees
noun.person	Tsathoggua
noun.person	Tsathoggua
noun.location	Leng
verb.stative	brood
verb.cognition	bred
noun.attribute	monstrosities
noun.location	Lake
noun.person	folklorist
noun.person	Wilmarth
noun.feeling	mood
verb.change	aggravate
noun.cognition	reaction
noun.phenomenon	mirage
noun.location	zenith
noun.attribute	undulations
noun.location	foothills
noun.event	mirages
noun.cognition	sample
noun.communication	symbolism
verb.emotion	shuddered
noun.artifact	minarets
verb.stative	loomed
noun.state	vapours
noun.artifact	architecture
noun.animal	man
noun.group	aggregations
noun.artifact	masonry
verb.stative	embodying
noun.cognition	perversions
noun.communication	laws
verb.stative	attaining
noun.shape	cones
verb.stative	surmounted
noun.artifact	shafts
verb.change	enlarged
verb.stative	capped
noun.group	tiers
noun.artifact	discs
verb.creation	beetling
noun.group	table
noun.artifact	constructions
verb.stative	suggesting
noun.group	piles
noun.artifact	slabs
noun.plant	stars
noun.shape	cones
verb.stative	surmounting
noun.shape	cubes
noun.shape	cones
noun.shape	needle
noun.group	clusters
noun.artifact	bridges
noun.attribute	heights
noun.artifact	whole
noun.attribute	giganticism
noun.state	mirage
verb.creation	drawn
noun.person	whaler
noun.person	Scoresby
noun.object	mountain
noun.location	peaks
verb.contact	soaring
noun.person	elder
noun.act	discovery
noun.feeling	pall
noun.state	disaster
verb.contact	enveloping
noun.attribute	taint
noun.feeling	malignity
noun.event	portent
noun.phenomenon	mirage
verb.change	break up
noun.artifact	cones
noun.attribute	hideousness
verb.change	dissolved
noun.attribute	opalescence
noun.artifact	rampart
noun.animal	giants
noun.communication	regularities
verb.communication	shewing
noun.attribute	clearness
noun.object	foothills
noun.location	patches
noun.location	spots
verb.cognition	took to
noun.object	Lake
noun.location	foothills
verb.change	shot up
verb.stative	forming
noun.location	peaks
noun.person	Ropes
noun.person	McTighe
verb.motion	head
noun.person	McTighe
verb.creation	sent out
noun.communication	wireless message
verb.perception	receive
noun.communication	bulletins
noun.act	sojourn
noun.event	tragedy
noun.act	wiping
noun.object	Lake
noun.person	Gedney
verb.communication	pardoned
noun.cognition	realisation
verb.change	rendered
noun.act	transportation
verb.communication	flatter
noun.state	midst
noun.feeling	distress
noun.feeling	bewilderment
noun.state	soul
verb.stative	went beyond
noun.cognition	truth
noun.event	instance
noun.attribute	significance
verb.stative	lies in
noun.feeling	terrors
verb.creation	wrought
noun.act	havoc
noun.object	particles
noun.artifact	shelter
verb.change	pulverised
noun.artifact	derrick
noun.act	boring
noun.location	pieces
noun.act	drilling
verb.contact	bruised
noun.attribute	polish
verb.change	flattened
noun.location	surfaces
verb.contact	denuded
noun.object	tracks
verb.change	obliterated
verb.contact	gather
noun.substance	minerals
noun.substance	soapstone
noun.act	rounding
noun.relation	comparisons
noun.body	fossil bones
noun.body	specimens
verb.stative	survived
noun.event	breakage
verb.communication	suggests
noun.act	leap
noun.event	break
noun.animal	beasts
noun.artifact	sledges
noun.location	unknown
noun.artifact	drill
noun.artifact	boring
verb.contact	damaged
verb.stative	warrant
noun.possession	salvage
verb.change	choke up
noun.artifact	gateway
noun.object	Lake
verb.contact	blasted
noun.person	pilots
noun.person	Sherman
noun.person	Danforth
noun.person	McTighe
noun.person	Ropes
noun.person	Danforth
verb.motion	navigate
verb.contact	brought back
noun.communication	incidentals
verb.possession	blown away
noun.time	P.M.
noun.act	cruising
noun.person	Gedney
noun.location	Arkham
verb.communication	relaying
verb.stative	did
verb.social	succeeded
noun.feeling	agitation
noun.cognition	specimens
noun.location	Lake
noun.communication	accounts
verb.contact	sniffing around
noun.artifact	soapstones
noun.artifact	aëroplanes
verb.perception	harboured
noun.feeling	curiosity
noun.feeling	investigativeness
noun.communication	specimens
verb.creation	discovered
noun.person	Lake
verb.communication	transmit
noun.cognition	part
noun.location	Lake
noun.person	monstrosities
noun.quantity	foot
noun.phenomenon	snow
noun.object	graves
noun.location	mounds
verb.contact	punched over
noun.substance	soapstones
verb.contact	dug up
noun.time	Mesozoic
noun.group	Tertiary
noun.cognition	specimens
noun.location	Lake
verb.change	blown away
noun.feeling	peace of mind
noun.person	Danforth
noun.attribute	height
verb.change	limited
noun.act	scouting
noun.act	tour
noun.person	Danforth
noun.state	hysterics
noun.communication	persuasion
verb.communication	promise
verb.communication	shew
noun.communication	sketches
verb.contact	brought away
noun.artifact	films
noun.act	development
noun.person	Pabodie
noun.person	McTighe
noun.person	Ropes
noun.person	Sherman
noun.person	Danforth
noun.communication	confirmation
noun.person	Lake
noun.cognition	opinion
noun.communication	great peaks
noun.substance	slate
noun.substance	strata
noun.attribute	regularity
noun.communication	rampart
noun.event	formations
noun.substance	veins
noun.cognition	conjecture
noun.location	passes
noun.act	scaling
noun.act	crossing
noun.person	mountaineers
noun.communication	remark
noun.body	mountains
noun.location	elevation
noun.object	formations
noun.object	foothills
noun.cognition	precipices
noun.location	peaks
noun.cognition	body of data
verb.stative	goes
verb.cognition	satisfied
noun.act	flying
noun.act	landing
noun.act	reconnoitring
verb.contact	collecting
noun.cognition	programme
verb.communication	called for
noun.state	spell
noun.location	foothills
verb.communication	tempt
verb.communication	emulating
noun.attribute	ounce
noun.cognition	persuasion
noun.person	Danforth
noun.location	Pabodie
noun.person	Sherman
noun.person	Ropes
noun.person	McTighe
noun.person	Williamson
verb.stative	worked like
noun.substance	beavers
noun.location	Lake
verb.change	fitting
noun.act	juggling
verb.contact	load
verb.motion	start back
noun.location	McMurdo Sound
noun.object	aeon
noun.object	continent
verb.stative	involve
noun.act	exploration
noun.event	decimation
noun.act	drilling
noun.feeling	doubts
noun.feeling	horrors
verb.social	accomplished
noun.event	disasters
noun.time	January
noun.location	McMurdo Sound
noun.act	laps
verb.creation	occasioned
noun.artifact	rudder
noun.object	shelf
verb.motion	cleared
noun.location	Arkham
verb.change	working up
noun.location	Ross Sea
noun.location	Victoria Land
verb.stative	looming
verb.change	twisting
noun.communication	wails
noun.artifact	piping
verb.emotion	chilled
noun.body	soul
noun.time	fortnight
noun.location	polar land
verb.communication	thanked
noun.state	realm
noun.state	alliances
noun.time	epochs
noun.object	crust
noun.event	return
verb.communication	discourage
noun.act	exploration
noun.cognition	doubts
noun.cognition	guesses
noun.attribute	faithfulness
noun.person	young Danforth
noun.state	nervous breakdown
verb.body	flinched
verb.communication	babbled
verb.communication	consent
verb.communication	relieve
noun.phenomenon	aftermath
verb.cognition	gather
verb.communication	whispers
verb.cognition	repudiates
verb.change	deterring
verb.emotion	harm
noun.act	cause
verb.communication	drawing
verb.communication	inquiring
noun.communication	notice
verb.social	spur
noun.act	pursuit
noun.location	unknown
noun.location	Lake
noun.object	monstrosities
verb.emotion	aroused
noun.person	naturalists
noun.person	palaeontologists
verb.communication	shew
noun.Tops	parts
noun.Tops	specimens
noun.cognition	specimens
verb.social	refrained
